iso2,year,innovacion_financiera_access
DO,1980,0.022
DO,1981,0.021
DO,1982,0.024
DO,1983,0.023
DO,1984,0.021
DO,1985,0.019
DO,1986,0.023
DO,1987,0.023
DO,1988,0.02
DO,1989,0.023
DO,1990,0.02
DO,1991,0.015
DO,1992,0.019
DO,1993,0.019
DO,1994,0.02
DO,1995,0.017
DO,1996,0.016
DO,1997,0.014
DO,1998,0.013
DO,1999,0.013
DO,2000,0.014
DO,2001,0.014
DO,2002,0.014
DO,2003,0.014
DO,2004,0.014
DO,2005,0.014
DO,2006,0.024
DO,2007,0.012
DO,2008,0.012
DO,2009,0.012
DO,2010,0.012
DO,2011,0.012
DO,2012,0.012
DO,2013,0.021
DO,2014,0.011
DO,2015,0.021
DO,2016,0.01
DO,2017,0.02
DO,2018,0.03
DO,2019,0.02
DO,2020,0.02
CL,1980,0.201
CL,1981,0.153
CL,1982,0.196
CL,1983,0.232
CL,1984,0.226
CL,1985,0.291
CL,1986,0.318
CL,1987,0.35
CL,1988,0.291
CL,1989,0.224
CL,1990,0.213
CL,1991,0.213
CL,1992,0.198
CL,1993,0.228
CL,1994,0.251
CL,1995,0.28
CL,1996,0.285
CL,1997,0.333
CL,1998,0.308
CL,1999,0.305
CL,2000,0.274
CL,2001,0.296
CL,2002,0.319
CL,2003,0.459
CL,2004,0.466
CL,2005,0.522
CL,2006,0.441
CL,2007,0.509
CL,2008,0.471
CL,2009,0.531
CL,2010,0.406
CL,2011,0.446
CL,2012,0.472
CL,2013,0.522
CL,2014,0.448
CL,2015,0.401
CL,2016,0.339
CL,2017,0.409
CL,2018,0.391
CL,2019,0.401
CL,2020,0.43
VE,1980,0.008
VE,1981,0.008
VE,1982,0.008
VE,1983,0.008
VE,1984,0.008
VE,1985,0.008
VE,1986,0.008
VE,1987,0.008
VE,1988,0.008
VE,1989,0.008
VE,1990,0.018
VE,1991,0.012
VE,1992,0.011
VE,1993,0.039
VE,1994,0.005
VE,1995,0.005
VE,1996,0.015
VE,1997,0.01
VE,1998,0.02
VE,1999,0.01
VE,2000,0.005
VE,2001,0.009
VE,2002,0.004
VE,2003,0.009
VE,2004,0.008
VE,2005,0.004
VE,2006,0.008
VE,2007,0.008
VE,2008,0.008
VE,2009,0.008
VE,2010,0.011
VE,2011,0.007
VE,2012,0.007
VE,2013,0.007
VE,2014,0.011
VE,2015,0.004
VE,2016,0.007
VE,2017,0.004
VE,2018,0.004
VE,2019,0.007
VE,2020,0.008
PY,1980,0.041
PY,1981,0.039
PY,1982,0.041
PY,1983,0.038
PY,1984,0.034
PY,1985,0.028
PY,1986,0.028
PY,1987,0.025
PY,1988,0.03
PY,1989,0.03
PY,1990,0.032
PY,1991,0.039
PY,1992,0.045
PY,1993,0.045
PY,1994,0.057
PY,1995,0.058
PY,1996,0.059
PY,1997,0.061
PY,1998,0.057
PY,1999,0.052
PY,2000,0.052
PY,2001,0.052
PY,2002,0.049
PY,2003,0.048
PY,2004,0.045
PY,2005,0.043
PY,2006,0.04
PY,2007,0.04
PY,2008,0.04
PY,2009,0.041
PY,2010,0.038
PY,2011,0.035
PY,2012,0.035
PY,2013,0.035
PY,2014,0.017
PY,2015,0.017
PY,2016,0.017
PY,2017,0.017
PY,2018,0.016
PY,2019,0.031
PY,2020,0.015
PA,1980,0.572390258
PA,1981,0.561906159
PA,1982,0.561906159
PA,1983,0.561906159
PA,1984,0.533415675
PA,1985,0.506277919
PA,1986,0.516459048
PA,1987,0.536969244
PA,1988,0.49442777
PA,1989,0.47121188
PA,1990,0.39014715
PA,1991,0.376095682
PA,1992,0.336385667
PA,1993,0.291573107
PA,1994,0.301960468
PA,1995,0.318553269
PA,1996,0.349732101
PA,1997,0.5700441
PA,1998,0.538442254
PA,1999,0.537545383
PA,2000,0.53667444
PA,2001,0.5358693
PA,2002,0.5358693
PA,2003,0.5358693
PA,2004,0.5358693
PA,2005,0.598548889
PA,2006,0.598548889
PA,2007,0.563063681
PA,2008,0.561842084
PA,2009,0.561842084
PA,2010,0.561842084
PA,2011,0.558379531
PA,2012,0.614585876
PA,2013,0.556227982
PA,2014,0.58278662
PA,2015,0.554184079
PA,2016,0.606413066
PA,2017,0.708955109
PA,2018,0.705187082
PA,2019,0.85279125
PA,2020,0.772554159
EC,1980,0.014
EC,1981,0.013
EC,1982,0.013
EC,1983,0.013
EC,1984,0.013
EC,1985,0.011
EC,1986,0.015
EC,1987,0.016
EC,1988,0.017
EC,1989,0.017
EC,1990,0.017
EC,1991,0.015
EC,1992,0.014
EC,1993,0.012
EC,1994,0.012
EC,1995,0.01
EC,1996,0.01
EC,1997,0.01
EC,1998,0.01
EC,1999,0.01
EC,2000,0.01
EC,2001,0.01
EC,2002,0.01
EC,2003,0.01
EC,2004,0.01
EC,2005,0.01
EC,2006,0.01
EC,2007,0.01
EC,2008,0.01
EC,2009,0.01
EC,2010,0.01
EC,2011,0.01
EC,2012,0.01
EC,2013,0.01
EC,2014,0.01
EC,2015,0.01
EC,2016,0.01
EC,2017,0.026
EC,2018,0.031
EC,2019,0.006
EC,2020,0.006
SV,1980,0.004
SV,1981,0.005
SV,1982,0.005
SV,1983,0.006
SV,1984,0.006
SV,1985,0.007
SV,1986,0.007
SV,1987,0.007
SV,1988,0.008
SV,1989,0.008
SV,1990,0.008
SV,1991,0.009
SV,1992,0.01
SV,1993,0.011
SV,1994,0.013
SV,1995,0.014
