iso2,year,superficie_forestal,co2_emissions_moreno,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno
AR,1990,12890342,100.1958,45112679993.17275,8.123676207874885,143481270368.416,221397615680767.0,
AR,1991,12863367,105.6018,49793646467.20342,6.716491760094313,156952124617.02563,224067773793743.0,
AR,1992,12836257,107.5265,54866978634.77191,5.990787091479338,167847716169.59113,226902218925727.0,
AR,1993,12809014,111.2874,56804377641.03993,5.136826482117787,180082672363.04776,228384839780987.0,
AR,1994,12781634,114.6933,59360367902.77613,5.082668000310752,191588211099.4245,225923138448572.0,0.48697254
AR,1995,12754118,116.2841,55107442936.30413,5.351464616272997,187095751608.66367,228542929192507.0,0.569752308497507
AR,1996,12726465,126.592,58662907786.20651,5.610866113233614,197717799168.0492,22585912862296.0,0.685647189726773
AR,1997,12698674,130.9503,64031404788.79672,5.22197210944516,213288187972.35367,22607595271123.0,0.7475755687028
AR,1998,12670742,138.0301,65215189236.85293,5.252722569876225,223315095295.6911,237416880680934.0,1.03645739454237
AR,1999,12642671,139.931,60044363410.41944,4.457826102291524,218976224590.2875,23444022304544.0,1.14296690557781
AR,2000,12614456,136.7561,57748736303.00665,4.679910944172974,219727513388.3414,235565311328153.0,1.13598759456854
AR,2001,12537304,131.3266,53497281607.21426,4.5685896089178595,210173098034.73727,235166220791142.0,1.38371246617048
AR,2002,12460022,124.0151,47636536297.70445,10.206646714441103,189754172217.5926,235372510713775.0,1.54901478483
AR,2003,1238261,135.1954,55242751606.90397,10.328166939116995,197810815773.9987,23976794801702.0,1.27186353150959
AR,2004,12305068,149.6663,61858654534.98252,8.362486610028256,211414792957.2829,238542862955324.0,1.37626820846544
AR,2005,12227395,153.6289,66450520964.18954,7.9387542742093835,230654624320.39584,25096161349621.0,1.03955349772083
AR,2006,12149589,162.5613,72497376415.56277,6.935572291263924,250272786353.9482,251150928686468.0,1.14171888473699
AR,2007,12071654,173.0862,77959305197.54895,7.4523539460692305,273019258918.30756,259224187143957.0,1.10848777355415
AR,2008,11993586,179.2241,80782289948.48691,7.318954597243597,287022502498.15076,254390000142063.0,1.0244040314141
AR,2009,11915386,164.8204,74917637563.8265,5.273623468901396,281125224591.53485,226758825636566.0,0.982166121574749
AR,2010,11837053,177.3162,83089610067.77629,7.1321674507896375,301056506853.30634,258167921146325.0,1.00264886855013
AR,2011,11786932,184.8342,89459765618.19478,6.9987337702251935,320459077624.79926,2574626768755.0,0.990570202846925
AR,2012,11736716,188.8365,86853510751.15005,5.781744206850099,322602157381.20337,251614818835717.0,0.845563170334555
AR,2013,11686407,193.179,88159380793.32439,6.052918436704514,328763090916.09814,252171740271708.0,0.834089768314268
AR,2014,11636004,190.0264,83703763913.68245,6.712703514285585,323356984479.67914,253782324046605.0,0.81283991150665
AR,2015,11585506,196.1938,84344878153.77855,5.156685902140803,331958726542.6797,264149401253808.0,1.00386955374373
AR,2016,11549088,194.1404,79620603665.37839,6.2645658201025425,331929726490.6675,259866849266975.0,0.957883726401707
AR,2017,11512613,191.3736,81670094128.59581,5.231622377250584,340471758378.91003,26491328651287.0,0.988377654092241
AR,2018,11476082,189.8171,77745909363.68687,4.5378788968114625,337792005842.4008,245841270763835.0,0.893681056985929
AR,2019,11439494,183.2687,72959443199.89766,5.318555996734804,327481460088.8498,269745045554865.0,0.932325266201205
AR,2020,11402848,168.1154,67344154176.67406,6.3570336757552655,292895704492.8226,26331468036905.0,0.899868141471166
AR,2021,11373415,185.676,77964250990.14877,7.291282496220415,320968997286.1706,260843975647649.0,0.882382900080944
AR,2022,11343912,195.0411,81650069627.75847,6.541569404848367,340150605437.10144,265012530886624.0,0.758156009225757
AR,2023,11314337,189.8908,79987406067.30307,5.846778603906901,342961174330.6983,264971192183844.0,0.739903111530535
AR,2024,1128469,183.272,72937193328.06464,5.806017109159592,335748978023.70245,26492552681501.0,
AR,2025,11254972,,,,,,
BO,1990,1422212,6.5843,1279459356.396345,15.353599269310273,5443550577.013566,181457525358168.0,
BO,1991,1419518,6.8994,1341128641.2003777,15.54209575314211,5679569483.203025,181190160489887.0,
BO,1992,14168108,7.4305,1342175555.552493,14.404204305204605,5916395184.295649,182122578926559.0,
BO,1993,141409,8.8889,1396937503.6181524,14.647962291689861,6169169385.158821,182011265781052.0,
BO,1994,14113557,9.5941,1472540593.2794876,15.244286726674197,6435807512.92287,181690874118561.0,0.067946764220883
BO,1995,14086078,8.6741,1572581599.2842453,14.859299108332403,6671891753.972394,181544202304478.0,0.0633595601452392
BO,1996,14058462,8.3856,1649079022.918133,14.184679383774897,7039298352.8713665,180817780301219.0,0.109594835723119
BO,1997,14030707,10.1676,1682397566.6927183,14.918259234341358,7566191019.6242075,180254671235777.0,0.174019637571034
