iso2,year,poblacion,incertidumbre_energetica
AR,1990,32755901,
AR,1991,33230294,
AR,1992,33693527,
AR,1993,34152717,
AR,1994,34613491,
AR,1995,35070020,
AR,1996,35513793,
AR,1997,35947791,
AR,1998,36372860,
AR,1999,36794682,
AR,2000,37213984,
AR,2001,37624825,
AR,2002,38029349,
AR,2003,38424282,
AR,2004,38815916,
AR,2005,39216789,
AR,2006,39622115,
AR,2007,40016763,
AR,2008,40424148,
AR,2009,40854831,
AR,2010,41288694,
AR,2011,41730660,
AR,2012,42161721,
AR,2013,42582455,
AR,2014,43024071,
AR,2015,43477012,
AR,2016,43900313,
AR,2017,44288894,
AR,2018,44654882,
AR,2019,44973465,
AR,2020,45191965,
AR,2021,45312281,
AR,2022,45407904,
AR,2023,45538401,
AR,2024,45696159,
BO,1990,7130142,
BO,1991,7280289,
BO,1992,7430336,
BO,1993,7579195,
BO,1994,7727322,
BO,1995,7874676,
BO,1996,8021736,
BO,1997,8167900,
BO,1998,8313394,
BO,1999,8459806,
BO,2000,8606326,
BO,2001,8752736,
BO,2002,8900355,
BO,2003,9050700,
BO,2004,9204287,
BO,2005,9360754,
BO,2006,9521689,
BO,2007,9685960,
BO,2008,9850858,
BO,2009,10016275,
BO,2010,10182345,
BO,2011,10348929,
BO,2012,10515807,
BO,2013,10682608,
BO,2014,10848888,
BO,2015,11014705,
BO,2016,11180020,
BO,2017,11344587,
BO,2018,11508368,
BO,2019,11671386,
BO,2020,11816299,
BO,2021,11937360,
BO,2022,12077154,
BO,2023,12244159,
BO,2024,12413315,
BR,1990,149143223,
BR,1991,151724256,
BR,1992,154275079,
BR,1993,156794577,
BR,1994,159265006,
BR,1995,161735073,
BR,1996,164202549,0.497380463
BR,1997,166661659,2.100038183
BR,1998,169159655,2.566442341
BR,1999,171641543,1.055286729
BR,2000,174018282,0.902074772
BR,2001,176301203,0.758017493
BR,2002,178503484,1.481868898
BR,2003,180622688,0.637903039
BR,2004,182675143,1.117750742
BR,2005,184688101,1.180677371
BR,2006,186653106,0.83926145
BR,2007,188552320,0.725494411
BR,2008,190367302,0.520083213
BR,2009,192079951,0.574327558
BR,2010,193701929,0.528665414
BR,2011,195284734,0.65681445
BR,2012,196876111,0.788936328
BR,2013,198478299,1.670527441
BR,2014,200085127,1.602634468
BR,2015,201675532,2.295898514
BR,2016,203218114,2.059231837
BR,2017,204703445,1.764047844
BR,2018,206107261,1.082388896
BR,2019,207455459,1.646662763
BR,2020,208660842,0.945528343
BR,2021,209550294,0.479716598
BR,2022,210306415,1.059354561
BR,2023,211140729,1.172005804
BR,2024,211998573,
CL,1990,13437176,
CL,1991,13662491,
CL,1992,13884577,
CL,1993,14102276,
CL,1994,14316256,
CL,1995,14527381,
CL,1996,14734046,0.382946132
CL,1997,14932434,0.742877119
CL,1998,15127799,1.079422793
CL,1999,15319313,0.431406385
CL,2000,15503635,0.376732972
CL,2001,15683849,0.296304278
CL,2002,15857925,0.899100899
CL,2003,16024752,0.713557594
