iso2,year,calidad_institucional,gobernanza,informalidad
AR,1990,3.04,,29.94921
AR,1991,3.04,,32.454959
AR,1992,3.04,,31.297945
AR,1993,3.04,,31.850106
AR,1994,3.04,,29.058573
AR,1995,3.04,,33.065403
AR,1996,3.04,0.199,35.127445
AR,1997,3301.0,,36.241772
AR,1998,3301.0,0.066,37.148152
AR,1999,3301.0,,38.269636
AR,2000,3301.0,0.011,38.465662
AR,2001,3301.0,,38.707752
AR,2002,3622.0,-0.225,44.1111
AR,2003,3622.0,-0.136,44.866014
AR,2004,3622.0,-0.024,47.981229
AR,2005,3622.0,0.013,46.964913
AR,2006,3622.0,0.052,43.741986
AR,2007,3622.0,0.001,40.967361
AR,2008,3622.0,-0.071,37.066093
AR,2009,3622.0,-0.058,35.899
AR,2010,3622.0,0.007,35.239084
AR,2011,3622.0,0.072,34.021874
AR,2012,3622.0,0.001,33.60766
AR,2013,3622.0,-0.016,33.016681
AR,2014,3622.0,0.178,32.578289
AR,2015,3622.0,0.119,32.617354
AR,2016,3075.0,0.343,33.529979
AR,2017,3075.0,0.296,33.431618
AR,2018,3075.0,0.258,34.158721
AR,2019,3075.0,0.263,34.782779
AR,2020,3634.0,0.149,30.851829
AR,2021,3754.0,0.113,32.007977
AR,2022,3642.0,0.109,36.7
AR,2023,3642.0,0.061,36.4
AR,2024,2.57,0.184,35.94362
AR,2025,2603.0,,
BO,1990,3079.0,,
BO,1991,3079.0,,
BO,1992,3079.0,,
BO,1993,3079.0,,
BO,1994,3079.0,,
BO,1995,3079.0,,
BO,1996,3079.0,-0.296,
BO,1997,3079.0,,
BO,1998,3079.0,-0.032,
BO,1999,3079.0,,64.645058
BO,2000,3163.0,-0.488,66.25497
BO,2001,3163.0,,70.382784
BO,2002,3163.0,-0.49,74.408387
BO,2003,3163.0,-0.502,68.177535
BO,2004,3163.0,-0.555,69.968926
BO,2005,3163.0,-0.465,67.897467
BO,2006,3163.0,-0.484,60.981302
BO,2007,3163.0,-0.45,60.412632
BO,2008,3163.0,-0.488,53.849285
BO,2009,3257.0,-0.362,61.391989
BO,2010,3172.0,-0.306,59.832514
BO,2011,3172.0,-0.267,58.073303
BO,2012,3172.0,-0.248,57.314308
BO,2013,3172.0,-0.163,53.0487
BO,2014,3172.0,-0.387,52.541494
BO,2015,3172.0,-0.432,49.63241
BO,2016,3172.0,-0.333,53.709129
BO,2017,3172.0,-0.313,53.007062
BO,2018,3172.0,-0.364,53.383622
BO,2019,2999.0,-0.458,52.541494
BO,2020,3069.0,-0.472,49.63241
BO,2021,2782.0,-0.478,53.709129
BO,2022,2782.0,-0.434,53.007062
BO,2023,2643.0,-0.409,53.383622
BO,2024,2715.0,-0.61,
BO,2025,2593.0,,
BR,1990,3323.0,,35.659456
BR,1991,3323.0,,36.646024
BR,1992,3323.0,,37.812932
BR,1993,3323.0,,38.838776
BR,1994,3323.0,,38.25339
BR,1995,3323.0,,39.065027
BR,1996,3323.0,0.018,38.004643
BR,1997,3323.0,,36.391801
BR,1998,3323.0,-0.18,36.749918
BR,1999,3323.0,,35.929462
BR,2000,3323.0,-0.162,36.156077
BR,2001,3323.0,,34.873114
BR,2002,3323.0,-0.054,34.850326
BR,2003,3323.0,-0.118,34.873114
BR,2004,3323.0,-0.217,34.850326
BR,2005,3323.0,-0.345,33.832999
BR,2006,3323.0,-0.379,33.192678
BR,2007,3323.0,-0.387,31.161815
BR,2008,3323.0,-0.119,29.804107
BR,2009,3323.0,-0.025,28.92218
BR,2010,3323.0,-0.008,24.697299
BR,2011,3323.0,-0.036,24.27899
BR,2012,3323.0,-0.006,22.865334
BR,2013,3323.0,0.138,22.823457
BR,2014,3323.0,-0.02,22.392473
BR,2015,3323.0,-0.102,20.524469
BR,2016,3195.0,-0.101,21.073907
BR,2017,3014.0,-0.105,22.32541
BR,2018,2454.0,-0.206,22.974869
BR,2019,2141.0,0.043,23.177073
BR,2020,2196.0,-0.087,20.545703
BR,2021,2196.0,-0.069,21.715387
BR,2022,2196.0,-0.235,23.577382
BR,2023,3133.0,-0.267,22.797121
BR,2024,3133.0,-0.224,22.6102572727273
BR,2025,3133.0,,22.6827660454545
CL,1990,3411.0,,21.387903
CL,1991,3411.0,,
CL,1992,3411.0,,22.831814
CL,1993,3411.0,,
CL,1994,3411.0,,
CL,1995,3411.0,,
CL,1996,3411.0,1003.0,22.025575
CL,1997,3411.0,,
CL,1998,3411.0,0.895,22.904469
CL,1999,3508.0,,
CL,2000,3508.0,0.939,23.057697
CL,2001,3508.0,,
CL,2002,3508.0,1105.0,
CL,2003,3508.0,1.16,22.2632
CL,2004,3508.0,1146.0,
CL,2005,3508.0,1305.0,
CL,2006,3508.0,1277.0,20.209276
CL,2007,3508.0,1286.0,
CL,2008,3508.0,1197.0,
CL,2009,3508.0,1274.0,21.974087
CL,2010,3508.0,1155.0,
CL,2011,3508.0,1241.0,
CL,2012,3508.0,1284.0,17.654394
CL,2013,3508.0,1226.0,
CL,2014,3508.0,1102.0,
CL,2015,3508.0,1051.0,15.457424
CL,2016,3508.0,0.973,
CL,2017,3508.0,0.962,17.480892
CL,2018,3508.0,1036.0,
CL,2019,3508.0,1047.0,
CL,2020,3508.0,0.873,10.966433
CL,2021,3347.0,0.87,
CL,2022,3024.0,0.875,14.787875
CL,2023,2.84,0.997,
CL,2024,2952.0,0.964,
CL,2025,2952.0,,
CO,1990,1871.0,,
CO,1991,2334.0,,
CO,1992,2.48,,
CO,1993,2.48,,
CO,1994,2.48,,
CO,1995,2.48,,
CO,1996,2.48,-0.053,
CO,1997,2.48,,
CO,1998,2.48,-0.456,
CO,1999,2.48,,
CO,2000,2746.0,-0.486,
CO,2001,2746.0,,
CO,2002,2746.0,-0.769,
CO,2003,2746.0,-0.418,
CO,2004,2746.0,-0.249,
CO,2005,2746.0,-0.312,
CO,2006,2913.0,-0.204,
CO,2007,2913.0,-0.19,
CO,2008,2913.0,-0.182,44.326477
CO,2009,2913.0,-0.249,44.345825
CO,2010,2913.0,-0.149,43.838677
CO,2011,2913.0,-0.053,43.254327
CO,2012,2913.0,-0.105,41.981003
CO,2013,2913.0,-0.049,40.135163
CO,2014,2913.0,-0.207,37.661508
CO,2015,2913.0,-0.134,37.089042
CO,2016,2913.0,-0.115,35.525628
CO,2017,2913.0,-0.149,34.62866
CO,2018,2913.0,-0.114,34.425985
CO,2019,2913.0,-0.074,36.080307
CO,2020,2722.0,-0.083,33.568461
CO,2021,2722.0,-0.032,35.882034
CO,2022,2789.0,0.002,34.748193
CO,2023,2789.0,-0.042,32.902411
CO,2024,2605.0,-0.111,31.888542
CO,2025,2349.0,,
CR,1990,3651.0,,25.658245
CR,1991,3651.0,,30.026108
CR,1992,3651.0,,23.737564
CR,1993,3651.0,,26.546525
CR,1994,3651.0,,25.215691
CR,1995,3651.0,,26.421512
CR,1996,3651.0,-0.024,28.583296
CR,1997,3651.0,,28.165808
CR,1998,3651.0,-0.027,29.406778
CR,1999,3651.0,,29.416477
CR,2000,3651.0,0.109,27.182418
CR,2001,3651.0,,27.024634
CR,2002,3651.0,0.2,28.38597
CR,2003,3651.0,0.193,25.634866
CR,2004,3651.0,0.266,28.064377
CR,2005,3651.0,0.231,26.769747
CR,2006,3651.0,0.168,26.122123
CR,2007,3651.0,0.244,23.465844
CR,2008,3651.0,0.276,22.406274
CR,2009,3651.0,0.402,25.7365320175439
CR,2010,3651.0,0.403,22.157988
CR,2011,3651.0,0.364,23.715755
CR,2012,3651.0,0.434,21.625258
CR,2013,3651.0,0.338,21.504762
CR,2014,3651.0,0.367,21.27599
CR,2015,3651.0,0.36,23.545115
CR,2016,3651.0,0.316,24.458683
CR,2017,3651.0,0.334,23.077004
CR,2018,3651.0,0.353,22.053618
CR,2019,3651.0,0.304,21.537034
CR,2020,3651.0,0.226,17.380114
CR,2021,3651.0,0.271,20.328514
CR,2022,3651.0,0.121,18.113858
CR,2023,3651.0,0.334,17.60422
CR,2024,3651.0,0.287,17.912951
CR,2025,3651.0,,
CU,1990,0.34,,
CU,1991,0.34,,
CU,1992,0.34,,
CU,1993,0.34,,
CU,1994,0.34,,
CU,1995,0.34,,
CU,1996,0.34,-1049.0,
CU,1997,0.34,,
CU,1998,0.34,-0.783,
CU,1999,0.34,,
CU,2000,0.34,-0.481,
CU,2001,0.34,,
CU,2002,0.34,-0.805,
CU,2003,0.34,-0.81,
CU,2004,0.34,-0.58,
CU,2005,0.34,-0.899,
CU,2006,0.34,-0.466,
CU,2007,0.34,-0.464,
CU,2008,0.34,-0.43,
CU,2009,0.34,-0.426,
CU,2010,0.34,-0.596,
CU,2011,0.34,-0.596,
CU,2012,0.34,-0.475,
CU,2013,0.534,-0.475,
CU,2014,0.534,-0.002,
CU,2015,0.534,-0.003,
CU,2016,0.534,-0.035,
CU,2017,0.534,-0.064,
CU,2018,0.534,-0.212,
CU,2019,0.534,-0.108,
CU,2020,0.437,-0.11,
CU,2021,0.437,-0.098,
CU,2022,0.437,0.02,
CU,2023,0.437,-0.002,
CU,2024,0.437,-0.27,
CU,2025,0.228,,
EC,1990,2998.0,,
EC,1991,2998.0,,
EC,1992,2998.0,,
EC,1993,2998.0,,
EC,1994,2998.0,,72.531558
EC,1995,2998.0,,61.019755
EC,1996,2998.0,-0.831,
EC,1997,2998.0,,
EC,1998,2998.0,-0.538,64.500895
EC,1999,2998.0,,65.031509
EC,2000,2998.0,-1066.0,
EC,2001,2998.0,,
EC,2002,2998.0,-1079.0,
EC,2003,2998.0,-1039.0,67.606105
EC,2004,2998.0,-0.912,67.06313
EC,2005,2998.0,-0.927,67.31061
EC,2006,2825.0,-0.902,62.608554
EC,2007,2825.0,-0.836,61.458935
EC,2008,2825.0,-0.76,59.868047
EC,2009,2825.0,-0.478,55.102531
EC,2010,2301.0,-0.484,50.502091
EC,2011,2301.0,-0.301,41.873103
EC,2012,2301.0,-0.292,39.4513
EC,2013,2301.0,-0.186,39.927151
EC,2014,2301.0,-0.108,37.600928
EC,2015,2301.0,-0.194,36.635015
EC,2016,2301.0,-0.153,37.411558
EC,2017,2513.0,-0.143,39.670687
EC,2018,2513.0,-0.213,40.893477
EC,2019,2513.0,-0.195,41.82373
EC,2020,2513.0,-0.344,46.579001
EC,2021,2513.0,-0.111,47.761285
EC,2022,2513.0,0.002,47.40249
EC,2023,2738.0,-0.163,49.549616
EC,2024,2582.0,-0.22,50.54051
EC,2025,2138.0,,
SV,1990,0.943,,
SV,1991,0.943,,
SV,1992,2264.0,,
SV,1993,3324.0,,
SV,1994,3324.0,,
SV,1995,3324.0,,
SV,1996,3324.0,-1108.0,
SV,1997,3324.0,,
SV,1998,3324.0,-0.892,48.533063
SV,1999,3324.0,,47.80417
SV,2000,3324.0,-0.962,51.323406
SV,2001,3324.0,,52.550403
SV,2002,3324.0,-0.889,49.911489
SV,2003,3324.0,-0.836,52.594443
SV,2004,3324.0,-0.476,54.353771
SV,2005,3324.0,-0.523,52.38165
SV,2006,3324.0,-0.423,53.815166
SV,2007,3324.0,-0.42,52.92648
SV,2008,3324.0,-0.452,50.455188
SV,2009,3324.0,-0.335,52.791621
SV,2010,3324.0,-0.208,54.019535
SV,2011,3324.0,-0.286,54.027781
SV,2012,3324.0,-0.263,54.20284
SV,2013,3324.0,-0.229,52.099235
SV,2014,3324.0,-0.117,52.477405
SV,2015,3324.0,-0.305,51.960111
SV,2016,3324.0,-0.325,51.954395
SV,2017,3324.0,-0.351,52.392382
SV,2018,3324.0,-0.365,51.920691
SV,2019,3324.0,-0.345,52.346178
SV,2020,2855.0,-0.143,52.803876
