iso2,year,tecnologia
AR,1990,9.24
AR,1991,9.42
AR,1992,10.7
AR,1993,11.7
AR,1994,14.4
AR,1995,16.3
AR,1996,17.6
AR,1997,19.0
AR,1998,19.5
AR,1999,19.6
AR,2000,21.2130069169697
AR,2001,21.6118878958241
AR,2002,20.2700498501828
AR,2003,22.3917495712737
AR,2004,22.5695201937267
AR,2005,24.0755891564707
AR,2006,23.875035444221
AR,2007,23.7400511380693
AR,2008,24.101517241625
AR,2009,23.9093756133761
AR,2010,24.0119195826344
AR,2011,23.2982775733717
AR,2012,22.4270707545358
AR,2013,22.6902934553679
AR,2014,22.830161748292
AR,2015,23.1688530021336
AR,2016,23.1543884436541
AR,2017,22.0018318813741
AR,2018,21.8655017384213
AR,2019,17.2484886365771
AR,2020,16.2775949220177
AR,2021,16.8306711374782
AR,2022,15.5058291173272
AR,2023,15.4467698591349
AR,2024,14.0529010326667
AR,2025,
BO,1990,2.56
BO,1991,2.8
BO,1992,2.8
BO,1993,3.06
BO,1994,3.14
BO,1995,3.14
BO,1996,4.35
BO,1997,4.71
BO,1998,5.44
BO,1999,5.94
BO,2000,5.93464621256504
BO,2001,5.99116664777734
BO,2002,6.63611732341013
BO,2003,6.74269393527572
BO,2004,6.79496412921501
BO,2005,6.9042621993912
BO,2006,7.0003651663061
BO,2007,7.0018666193129
BO,2008,8.00917036871306
BO,2009,8.02910263546079
BO,2010,8.35959692978386
BO,2011,8.488636843484
BO,2012,8.37188244325899
BO,2013,8.18508925910227
BO,2014,8.07558341463199
BO,2015,8.00053201606398
BO,2016,7.75800043291515
BO,2017,7.50234451020562
BO,2018,6.1864636236867
BO,2019,5.58864217154672
BO,2020,5.06150022100829
BO,2021,4.60747602484972
BO,2022,4.00258206527796
BO,2023,3.45180097710263
BO,2024,2.97201835287351
BO,2025,
BR,1990,6.31
BR,1991,6.64
BR,1992,7.03
BR,1993,7.21
BR,1994,7.7
BR,1995,8.2
BR,1996,9.2
BR,1997,10.2
BR,1998,11.8
BR,1999,14.6
BR,2000,17.7718522700965
BR,2001,21.2311534822596
BR,2002,21.7422563024036
BR,2003,21.7054681414109
BR,2004,21.6662772778013
BR,2005,21.5783257200744
BR,2006,20.7873315539684
BR,2007,20.8958563861744
BR,2008,21.6608874353853
BR,2009,21.6040236286816
BR,2010,21.7558070885293
BR,2011,22.0323596825546
BR,2012,22.5041493226164
BR,2013,22.6917084774089
BR,2014,22.0547067448946
BR,2015,21.6571343914938
BR,2016,20.6693917058988
BR,2017,19.7239963401691
BR,2018,18.5883426979314
BR,2019,16.2506579303849
BR,2020,14.6907357922001
BR,2021,13.7854218424528
BR,2022,12.9634604821731
BR,2023,12.1123073322343
BR,2024,10.6345130917461
BR,2025,
CL,1990,6.43
CL,1991,7.73
CL,1992,9.24
CL,1993,10.8
CL,1994,11.1
CL,1995,12.5
CL,1996,14.6
CL,1997,18.0
CL,1998,20.1
CL,1999,20.3
CL,2000,21.3014431776806
CL,2001,22.1788159271363
CL,2002,21.8629675698428
CL,2003,20.2939989336496
CL,2004,20.6649500145855
CL,2005,21.1676065330387
CL,2006,20.4952270537722
CL,2007,20.751547198793
CL,2008,20.9323149348405
CL,2009,20.9016297788601
CL,2010,20.1342970540811
CL,2011,19.4221976535482
CL,2012,18.7937646864548
CL,2013,18.9248027619824
CL,2014,19.1878167474101
CL,2015,19.0932601935158
CL,2016,18.4759192435456
CL,2017,17.2437510736107
CL,2018,15.8638739215625
CL,2019,14.3260166402886
CL,2020,13.2568677188716
CL,2021,12.9056789423948
CL,2022,11.3372982078077
CL,2023,10.0598891032963
CL,2024,8.78587968461663
CL,2025,
CO,1990,7.44
CO,1991,7.96
CO,1992,8.36
CO,1993,9.12
CO,1994,10.0
CO,1995,10.8
CO,1996,12.7
CO,1997,14.5
CO,1998,16.8
CO,1999,17.3
CO,2000,18.4005887551511
CO,2001,18.563792497579
CO,2002,19.2586773162242
CO,2003,19.1713700437807
CO,2004,18.2669637808823
CO,2005,18.226894044923
CO,2006,18.4118187301124
CO,2007,18.3278118514714
CO,2008,18.1196526194224
CO,2009,16.8818767794868
CO,2010,16.0486718733652
CO,2011,15.7463340275063
CO,2012,15.4566439925269
CO,2013,15.4739239285915
CO,2014,15.4211765127301
CO,2015,15.1357527814598
CO,2016,15.0007529905869
CO,2017,14.5179669568174
CO,2018,14.2246794534117
CO,2019,14.0504690782447
CO,2020,14.3156753495364
CO,2021,14.7834832862661
CO,2022,14.591526868559
CO,2023,13.9083080586605
CO,2024,11.9425247676797
CO,2025,
CR,1990,9.02
CR,1991,9.52
CR,1992,9.95
CR,1993,10.8
CR,1994,12.5
CR,1995,13.5
CR,1996,14.5
CR,1997,18.5
CR,1998,19.6
CR,1999,20.8
CR,2000,22.8236051195877
CR,2001,23.5710275042299
CR,2002,25.4676430212687
CR,2003,28.0087822896774
CR,2004,31.9801917964381
CR,2005,32.5844824511175
CR,2006,30.7660355352738
CR,2007,32.7993985728662
CR,2008,32.3809654653004
CR,2009,33.3260144748945
CR,2010,23.2746453987105
CR,2011,22.3808324509803
CR,2012,21.3358293663675
CR,2013,20.5349621205616
CR,2014,18.4853157640915
CR,2015,17.8395023036348
CR,2016,17.2251149476536
CR,2017,16.5603844518526
CR,2018,15.4873575431773
CR,2019,12.8071849623356
CR,2020,11.1213033736433
CR,2021,9.94972715350313
CR,2022,9.66721208084199
CR,2023,12.3815278546281
CR,2024,11.8999553598406
CR,2025,
CU,1990,3.17
CU,1991,3.16
CU,1992,3.12
CU,1993,3.22
CU,1994,3.21
CU,1995,3.23
CU,1996,3.25
CU,1997,3.37
CU,1998,3.51
CU,1999,3.92
CU,2000,4.39824652004045
CU,2001,5.15441669212102
CU,2002,5.95521255445578
CU,2003,6.46120308316702
CU,2004,6.83524048391121
CU,2005,7.60003459250895
CU,2006,8.52567927614809
CU,2007,9.34785659457839
CU,2008,9.63613119015438
CU,2009,9.91424399314405
CU,2010,10.2999280631515
CU,2011,10.5597266079203
CU,2012,10.7626573949355
CU,2013,10.9511215403348
CU,2014,11.2071789487208
CU,2015,11.4931222125992
CU,2016,11.7348440546328
CU,2017,11.9950970093873
CU,2018,12.3288363050963
CU,2019,12.9175568422524
CU,2020,13.4411454755281
CU,2021,13.839648888598
CU,2022,14.2274105726856
CU,2023,14.4186111510136
CU,2024,14.4879730318896
CU,2025,
DO,1990,4.77
