iso2,pais,year,gei_total_exclulucf_MtCO2e,renew_cons_pct_tfec,wgi_va_est,wgi_ge_est,indice_riesgo_climatico,tecnologia,informalidad,credito_privado_pct_gdp,superficie_forestal,poblacion,incertidumbre_energetica,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno,co2_emissions_moreno,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab,innovacion_financiera_access,forest_area_km2,ghg_total_incl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,trade_pct_gdp,fdi_inflows_pct_gdp,renewable_energy_pct_final_energy,domestic_credit_private_pct_gdp,wgi_voice_accountability_est
AR,Argentina,1990,,8.6,,,,0.036767345,29.94921,15.6016948142115,352040.0,32755901,,45112679993.17275,8.123676207874885,143481270368.416,221397615680767.0,,100.1958,4315.334031115882,2.54133379153863,35.25110753910691,,0.36,352040.0,,8115.09386370753,14.9908589999441,1.29887904052817,8.6,15.6016948142115,
AR,Argentina,1991,,8.4,,,,0.075515553,32.454959,12.5872034907184,350214.0,33230294,,49793646467.20342,6.716491760094313,156952124617.02563,224067773793743.0,,105.6018,5709.247840795045,1.11216953670952,30.30038615773058,,0.416,350214.0,,8729.82318518892,13.7530541588891,1.28557885422783,8.4,12.5872034907184,
AR,Argentina,1992,,9.0,,,92.18255905,0.13879172,31.297945,15.4453354474077,348388.0,33693527,,54866978634.77191,5.990787091479338,167847716169.59113,226902218925727.0,,107.5265,6789.996111364947,1.09688763068098,34.72388046403051,,0.45,348388.0,,9293.18692251748,14.730980586353,1.9367945155154,9.0,15.4453354474077,
AR,Argentina,1993,,9.7,,,92.20053846,0.329148059,31.850106,18.2846049267413,346562.0,34152717,,56804377641.03993,5.136826482117787,180082672363.04776,228384839780987.0,,111.2874,6931.855963758755,1.09534038350252,38.74272786037492,,0.505,346562.0,,9920.67358582437,16.223151447784,1.17980281165114,9.7,18.2846049267413,
AR,Argentina,1994,,10.0,,,92.21843044,0.6992523,29.058573,20.280577998757,344736.0,34613491,,59360367902.77613,5.082668000310752,191588211099.4245,225923138448572.0,0.48697254,114.6933,7437.562423275942,1.03761625538356,41.87006734314532,,0.5,344736.0,,10359.8927204871,18.1343458669981,1.411953029158,10.0,20.280577998757,
AR,Argentina,1995,,10.2,,,92.64251004,1.160057586,33.065403,19.9606075608912,342910.0,35070020,,55107442936.30413,5.351464616272997,187095751608.66367,228542929192507.0,0.569752308497507,116.2841,7357.616277378798,1.29807343639538,40.1140203331299,,0.498,342910.0,,9934.10776139515,19.7714230903755,2.17392758974997,10.2,19.9606075608912,
AR,Argentina,1996,,8.6,,,92.94534287,1.884803688,35.127445,20.1870018252819,341084.0,35513793,,58662907786.20651,5.610866113233614,197717799168.0492,22585912862296.0,0.685647189726773,126.592,7663.212712874685,1.59598410207505,33.35865390127845,,0.548,341084.0,,10352.1400002191,21.5064684057215,2.55320340608332,8.6,20.1870018252819,0.4329195
AR,Argentina,1997,,9.7,,,93.40987186,5.609433289,36.241772,21.9334587634322,339258.0,35947791,,64031404788.79672,5.22197210944516,213288187972.35367,22607595271123.0,0.7475755687028,130.9503,8146.787100214308,1.42473252510187,39.29078992756123,,0.564,339258.0,,11056.6881331002,23.3361788437439,3.12787793868196,9.7,21.9334587634322,
AR,Argentina,1998,,9.6,,,94.12702153,7.371312411,37.148152,24.1532987732827,337432.0,36372860,,65215189236.85293,5.252722569876225,223315095295.6911,237416880680934.0,1.03645739454237,138.0301,8218.992127646823,0.821860211536179,36.306161789089145,,0.553,337432.0,,11348.2022124673,23.3500279730689,2.43876896154487,9.6,24.1532987732827,0.3265416
AR,Argentina,1999,,8.8,,,95.25761964,10.50082052,38.269636,24.8933437498898,335606.0,36794682,,60044363410.41944,4.457826102291524,218976224590.2875,23444022304544.0,1.14296690557781,139.931,7705.5428825285135,1.4005641030747,27.195730506816577,,0.515,335606.0,,10838.3199346387,21.3827449624898,8.46058217133802,8.8,24.8933437498898,
AR,Argentina,2000,288.4453,9.8,0.4423,,95.68523856,17.4341720574717,38.465662,23.8947336198062,333780.0,37213984,,57748736303.00665,4.679910944172974,219727513388.3414,235565311328153.0,1.13598759456854,136.7561,7637.014892036284,2.36414526373118,33.03178865990966,,0.503,333780.0,373.6442,10631.6503639029,22.6224447777343,3.66579059535379,9.8,23.8947336198062,0.4422784
AR,Argentina,2001,285.5007,11.5,,,96.47757745,17.9184647370453,38.707752,20.833574652466,330616.0,37624825,,53497281607.21426,4.56858960891786,210173098034.73727,235166220791142.0,1.38371246617048,131.3266,7141.475076628263,1.91854085449722,41.61724382722896,,0.509,330616.0,368.3676,10051.9448463043,21.8522554515453,0.806164134759348,11.5,20.833574652466,
AR,Argentina,2002,284.5413,11.6,0.333,,96.86257009,17.2675582745316,44.1111,15.3318584042485,327452.0,38029349,,47636536297.70445,10.206646714441105,189754172217.5926,235372510713775.0,1.54901478483,124.0151,2569.699635191236,5.63090239331634,43.240245848354114,,0.503,327452.0,382.1273,8861.56199282278,41.7527243585642,2.19895819502207,11.6,15.3318584042485,0.3330067
AR,Argentina,2003,305.8995,10.8,0.4198,,97.6023921,20.4095759030709,44.866014,10.7627059172487,324288.0,38424282,,55242751606.90397,10.328166939116995,197810815773.9987,23976794801702.0,1.27186353150959,135.1954,3320.477751339027,4.54405237920157,37.88123941092142,,0.509,324288.0,402.0065,9545.53194119994,40.6447480311085,1.29481086883944,10.8,10.7627059172487,0.419837
AR,Argentina,2004,324.6533,9.3,0.4802,,98.33346763,34.8114495095259,47.981229,9.68251819633223,321124.0,38815916,,61858654534.98252,8.362486610028256,211414792957.2829,238542862955324.0,1.37626820846544,149.6663,4242.020990894215,4.29522015828479,31.518902262687103,,0.653,321124.0,429.1492,10302.4465316428,40.692646108947,2.5050175164097,9.3,9.68251819633223,0.4802197
