codigo_api,endpoint_consultado,url_indicador,fecha_hora_descarga_utc,parametros_consulta,total_registros_descargados,total_registros_validos,errores,variable,proveedor,hash_datos_sha256_parcial,notas_de_error
AG.LND.FRST.K2,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/AG.LND.FRST.K2?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/AG.LND.FRST.K2,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,forest_area_km2,World Bank / FAO,13bf445631f2fba2,
AG.LND.FRST.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/AG.LND.FRST.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/AG.LND.FRST.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,forest_area_pct_land,World Bank / FAO,44024d2b3dda2988,
EN.GHG.ALL.LU.MT.CE.AR5,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EN.GHG.ALL.LU.MT.CE.AR5?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/EN.GHG.ALL.LU.MT.CE.AR5,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,ghg_total_incl_lulucf_mt_co2e,World Bank / JRC European Commission / IEA,53d4ee2684e69ada,
EN.GHG.CO2.MT.CE.AR5,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EN.GHG.CO2.MT.CE.AR5?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/EN.GHG.CO2.MT.CE.AR5,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,co2_excl_lulucf_mt_co2e,World Bank / JRC / IEA,1fd8fa0d38caca4b,
NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.PCAP.KD?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/NY.GDP.PCAP.KD,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,gdp_per_capita_const2015_usd,World Bank,42c4d2215754d369,
NY.GDP.PCAP.PP.KD,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.PCAP.PP.KD?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.KD,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,432,,gdp_per_capita_ppp_const2021_intl,World Bank / International Comparison Program,3157e80f83a8d1de,
SP.POP.TOTL,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SP.POP.TOTL?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,population_total,World Bank / UNPD,6f3ecefef3f2aa10,
IT.NET.USER.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/IT.NET.USER.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,478,,internet_users_pct_pop,World Bank / International Telecommunication Union,60e3593743210af7,
IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/IT.CEL.SETS.P2?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/IT.CEL.SETS.P2,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,478,,mobile_subscriptions_per100,World Bank / ITU,468b00fb93745386,
NV.AGR.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.AGR.TOTL.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/NV.AGR.TOTL.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,agriculture_va_pct_gdp,World Bank,bbff19d2eab62123,
NV.IND.MANF.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.IND.MANF.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/NV.IND.MANF.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,manufacturing_va_pct_gdp,World Bank,1789abff485400e2,
NV.SRV.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.SRV.TOTL.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,services_va_pct_gdp,World Bank,fc9e737923605437,
SL.TLF.0714.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SL.TLF.0714.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/SL.TLF.0714.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,83,,child_employment_pct_7to14,World Bank / ILO,f6f5b8fe016e5122,
EG.FEC.RNEW.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EG.FEC.RNEW.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/EG.FEC.RNEW.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,440,,renewable_energy_pct_final_energy,World Bank / IEA / Sustainable Energy for All,108cff0e45eddaad,
EG.ELC.RNEW.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EG.ELC.RNEW.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/EG.ELC.RNEW.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,423,,renewable_electricity_output_pct,World Bank / IEA,eaa3b2161a5dcfff,
GB.XPD.RSDV.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GB.XPD.RSDV.GD.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,315,,rd_expenditure_pct_gdp,World Bank / UNESCO,21297a39bbff94ff,
FX.OWN.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/FX.OWN.TOTL.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/FX.OWN.TOTL.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,74,,account_ownership_pct_adults,World Bank,b5212e69a0aceee2,
FS.AST.PRVT.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/FS.AST.PRVT.GD.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/FS.AST.PRVT.GD.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,416,,domestic_credit_private_pct_gdp,World Bank / FMI,49f71c4c4da75475,
GOV_WGI_VA.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_VA.EST?format=json&per_page=1000&date=2000:2023,https://www.worldbank.org/en/publication/worldwide-governance-indicators,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_voice_accountability_est,World Bank,825de1acd93aa377,
GOV_WGI_GE.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_GE.EST?format=json&per_page=1000&date=2000:2023,https://www.worldbank.org/en/publication/worldwide-governance-indicators,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_government_effectiveness_est,World Bank,dd7e6a49da0c6f48,
GOV_WGI_RL.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_RL.EST?format=json&per_page=1000&date=2000:2023,https://www.worldbank.org/en/publication/worldwide-governance-indicators,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_rule_of_law_est,World Bank,f7dcfeeeda7ad5ab,
GOV_WGI_CC.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_CC.EST?format=json&per_page=1000&date=2000:2023,https://www.worldbank.org/en/publication/worldwide-governance-indicators,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_control_corruption_est,World Bank,b065ed53341c4e8b,
GOV_WGI_RQ.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_RQ.EST?format=json&per_page=1000&date=2000:2023,https://www.worldbank.org/en/publication/worldwide-governance-indicators,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_regulatory_quality_est,World Bank,3409ebae53fd6db6,
GOV_WGI_PV.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_PV.EST?format=json&per_page=1000&date=2000:2023,https://www.worldbank.org/en/publication/worldwide-governance-indicators,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_political_stability_est,World Bank,e809b33d127d2602,
GC.TAX.TOTL.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GC.TAX.TOTL.GD.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/GC.TAX.TOTL.GD.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,322,,tax_revenue_pct_gdp,World Bank / FMI,dac0927949a65ef7,
NY.GDP.TOTL.RT.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.TOTL.RT.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/NY.GDP.TOTL.RT.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,432,,natural_resources_rents_pct_gdp,World Bank,623a13048458c578,
SL.EMP.VULN.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SL.EMP.VULN.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/SL.EMP.VULN.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,vulnerable_employment_pct_total,World Bank / ILO,853ea8be0dc1022f,
CM.MKT.LCAP.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/CM.MKT.LCAP.GD.ZS?format=json&per_page=1000&date=2000:2023,https://data.worldbank.org/indicator/CM.MKT.LCAP.GD.ZS,2026-04-11T19:28:43Z,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,183,,stock_market_cap_pct_gdp,World Bank / World Federation of Exchanges,4a670de4e27ed635,
