codigo_api,endpoint_consultado,fecha_hora_descarga_utc,parametros_consulta,total_registros_descargados,total_registros_validos,errores,variable,proveedor,url_indicador
AG.LND.FRST.K2,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/AG.LND.FRST.K2?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:57.456719+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,forest_area_km2,World Bank / FAO,https://data.worldbank.org/indicator/AG.LND.FRST.K2
AG.LND.FRST.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/AG.LND.FRST.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:57.841885+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,forest_area_pct_land,World Bank / FAO,https://data.worldbank.org/indicator/AG.LND.FRST.ZS
EN.GHG.ALL.LU.MT.CE.AR5,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EN.GHG.ALL.LU.MT.CE.AR5?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:58.274192+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,ghg_total_incl_lulucf_mt_co2e,World Bank / JRC European Commission / IEA,https://data.worldbank.org/indicator/EN.GHG.ALL.LU.MT.CE.AR5
EN.GHG.CO2.MT.CE.AR5,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EN.GHG.CO2.MT.CE.AR5?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:58.679698+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,co2_excl_lulucf_mt_co2e,World Bank / JRC / IEA,https://data.worldbank.org/indicator/EN.GHG.CO2.MT.CE.AR5
NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.PCAP.KD?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:59.090542+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,gdp_per_capita_const2015_usd,World Bank,https://data.worldbank.org/indicator/NY.GDP.PCAP.KD
NY.GDP.PCAP.PP.KD,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.PCAP.PP.KD?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:59.504225+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,432,,gdp_per_capita_ppp_const2021_intl,World Bank / International Comparison Program,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.KD
SP.POP.TOTL,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SP.POP.TOTL?format=json&per_page=1000&date=2000:2023,2026-04-13T02:02:59.895413+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,population_total,World Bank / UNPD,https://data.worldbank.org/indicator/SP.POP.TOTL
IT.NET.USER.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:00.268340+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,478,,internet_users_pct_pop,World Bank / International Telecommunication Union,https://data.worldbank.org/indicator/IT.NET.USER.ZS
IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/IT.CEL.SETS.P2?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:00.681863+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,478,,mobile_subscriptions_per100,World Bank / ITU,https://data.worldbank.org/indicator/IT.CEL.SETS.P2
NV.AGR.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.AGR.TOTL.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:01.067653+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,agriculture_va_pct_gdp,World Bank,https://data.worldbank.org/indicator/NV.AGR.TOTL.ZS
NV.IND.MANF.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.IND.MANF.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:01.445364+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,manufacturing_va_pct_gdp,World Bank,https://data.worldbank.org/indicator/NV.IND.MANF.ZS
NV.SRV.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.SRV.TOTL.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:01.858390+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,services_va_pct_gdp,World Bank,https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS
SL.TLF.0714.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SL.TLF.0714.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:02.268848+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,83,,child_employment_pct_7to14,World Bank / ILO,https://data.worldbank.org/indicator/SL.TLF.0714.ZS
EG.FEC.RNEW.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EG.FEC.RNEW.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:02.678667+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,440,,renewable_energy_pct_final_energy,World Bank / IEA / Sustainable Energy for All,https://data.worldbank.org/indicator/EG.FEC.RNEW.ZS
