iso2,pais,year,forest_area_km2,forest_area_pct_land,ghg_total_incl_lulucf_mt_co2e,co2_excl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,gdp_per_capita_ppp_const2021_intl,population_total,internet_users_pct_pop,mobile_subscriptions_per100,agriculture_va_pct_gdp,manufacturing_va_pct_gdp,services_va_pct_gdp,child_employment_pct_7to14,renewable_energy_pct_final_energy,renewable_electricity_output_pct,rd_expenditure_pct_gdp,account_ownership_pct_adults,domestic_credit_private_pct_gdp,wgi_voice_accountability_est,wgi_government_effectiveness_est,wgi_rule_of_law_est,wgi_control_corruption_est,wgi_regulatory_quality_est,wgi_political_stability_est,tax_revenue_pct_gdp,natural_resources_rents_pct_gdp,vulnerable_employment_pct_total,stock_market_cap_pct_gdp,trade_pct_gdp,fdi_inflows_pct_gdp,co2_emissions_kt
AR,Argentina,2000,333780.0,12.1964855354461,373.6442,136.7561,10631.6503639029,22281.3814299958,37213984.0,7.0386830862178,17.4341720574717,4.67991094417297,16.4942719439838,63.469313441501,,9.8,33.0317886599097,0.43884,,23.8947336198062,0.4422784,0.0107824,-0.160553,-0.3051156,-0.1029398,-0.0569482,9.62260350188905,2.36414526373118,21.9748899685516,16.1290412248255,22.6224447777343,3.66579059535379,
AR,Argentina,2001,330616.0,12.0808714176615,368.3676,131.3266,10051.9448463043,21066.4581290433,37624825.0,9.78080728532407,17.9184647370453,4.56858960891786,16.0932258763829,65.0812573281962,,11.5,41.617243827229,0.4246,,20.833574652466,,,,,,,9.32489879390056,1.91854085449722,22.9126921231873,12.4244152562322,21.8522554515453,0.806164134759348,
AR,Argentina,2002,327452.0,11.9652572998769,382.1273,124.0151,8861.56199282278,18571.7020471274,38029349.0,10.8821243775325,17.2675582745316,10.2066467144411,20.347773913878,54.7764456459146,,11.6,43.2402458483541,0.38886,,15.3318584042485,0.3330067,-0.225255899999999,-0.804874299999999,-0.56214,-0.9549711,-0.6587134,9.81895834666325,5.63090239331634,23.70466457638,16.9569392155608,41.7527243585642,2.19895819502207,
AR,Argentina,2003,324288.0,11.8496431820922,402.0065,135.1954,9545.53194119994,20005.1385113465,38424282.0,11.9136965509954,20.4095759030709,10.328166939117,22.4867505875749,51.0316942508769,,10.8,37.8812394109214,0.41012,,10.7627059172487,0.419837,-0.1358752,-0.783139599999999,-0.548223799999999,-0.846393899999999,-0.2505519,12.5187797002949,4.54405237920157,21.7001661163026,27.4280508755432,40.6447480311085,1.29481086883944,
AR,Argentina,2004,321124.0,11.7340290643076,429.1492,149.6663,10302.4465316428,21591.449396517,38815916.0,16.0366841054923,34.8114495095259,8.36248661002826,18.9370136214371,47.8369882937827,12.9,9.3,31.5189022626871,0.40376,,9.68251819633223,0.4802197,-0.0238339999999999,-0.6604823,-0.4054833,-0.6710565,-0.328465399999999,13.1007798994386,4.29522015828479,21.6028718502752,24.6534557360052,40.692646108947,2.5050175164097,
AR,Argentina,2005,317960.0,11.618414946523,422.5869,153.6289,11099.7509190602,23262.4075792816,39216789.0,17.7205833696065,56.4972976242395,7.93875427420938,18.340415936715,48.4861459282405,,9.6,33.7205702994261,0.42075,,10.6534929189359,0.510876,0.013348,-0.4127937,-0.3890799,-0.5984456,0.0832070999999999,13.1031756459852,5.18727382834912,21.2797063654732,23.946359886693,40.5512709706238,2.64935441452167,
AR,Argentina,2006,314796.0,11.5028008287384,452.8304,162.5613,11870.2791559298,24877.2493922296,39622115.0,20.9272021035896,79.5272791470117,6.93557229126392,17.8777938558849,48.7491333682456,,9.2,34.7396865413772,0.45216,,11.9102616607561,0.5096456,0.0518902,-0.4448966,-0.320851799999999,-0.6421161,0.0814603,12.8788866954319,5.77560944191323,20.2573051041667,22.0333391526542,40.4334798719151,2.38106854489628,
AR,Argentina,2007,311632.0,11.3871867109537,471.6905,173.0862,12811.9021206578,26850.6645932771,40016763.0,25.9466329403819,100.962116800902,7.45235394606923,17.0474154518997,49.5083307772744,,7.7,29.2267911400766,0.46007,,13.0985413493544,0.5040718,0.000854899999999999,-0.4644969,-0.4042866,-0.6471966,0.2041085,12.4482684483004,4.83861569507875,19.178244400597,19.8483841980828,40.945170618571,2.25129423568361,
AR,Argentina,2008,308468.0,11.2715725931691,450.3852,179.2241,13197.3570267029,27658.4853446831,40424148.0,28.1126234799907,115.051958547154,7.3189545972436,16.5383660984547,50.2551922042782,,7.7,27.4501463990749,0.47055,,12.313946714342,0.4084075,-0.0710406,-0.678214099999999,-0.4137763,-0.6633654,0.0112562,13.3178463574032,4.94937994883837,19.1016841857864,11.0218432201051,40.4026733790382,2.68990096507093,
AR,Argentina,2009,305304.0,11.1559584753845,403.417,164.8204,12285.3784651865,25747.1976809995,40854831.0,34.0,128.461625505194,5.2736234689014,15.5837772738051,53.3060010032753,,8.6,30.4953983718573,0.58398,,12.4162075416805,0.3882056,-0.0584798999999999,-0.6305261,-0.3970066,-0.779930999999999,-0.1847801,12.3830415594157,3.09834695426024,19.5906993047639,13.7381863641294,34.0571269054879,1.20643922647566,
AR,Argentina,2010,302140.0,11.0403443575999,412.4492,177.3162,13387.1553748458,28056.2570212342,41288694.0,45.0,138.251643415992,7.13216745078964,15.8448608064195,51.4951802052167,,8.8,28.633480141253,0.56104,,12.6901062454749,0.4439987,0.00723629999999999,-0.5170484,-0.3672971,-0.7577834,-0.0975562,12.8530426903255,3.25709519384359,19.0490238114851,15.0863203529933,34.9710132635696,2.67516171886535,
AR,Argentina,2011,299906.0,10.9587128976976,396.8028,184.8342,14040.6189124444,29425.7593876084,41730660.0,51.0,145.511067881505,6.99873377022519,15.8506983942663,51.8119007511102,,8.8,26.3898274983398,0.56597,33.1302169855518,14.0087151168124,0.3421553,0.0717304,-0.4685103,-0.3396354,-0.7069559,0.1203533,12.6636277012315,3.88650404225898,18.6211188839315,8.22014945932331,35.2061549999644,2.04465997872008,
AR,Argentina,2012,297672.0,10.8770814377953,442.1796,188.8365,13754.4254235596,28825.9666865361,42161721.0,55.79999924,152.573579717014,5.7817442068501,15.2168009115954,53.6581179163924,5.025251,8.6,24.2839965308912,0.63491,,15.2128150156924,0.3112012,0.0013935,-0.5151067,-0.5168142,-0.841032599999999,0.0804879,12.9528415127413,3.62564790864033,19.0299608764648,6.27396625321678,30.5265423717108,2.80667189982932,
AR,Argentina,2013,295438.0,10.795449977893,445.3664,193.179,13946.0950832252,29227.6601818437,42582455.0,59.90000153,158.190773641398,6.05291843670451,15.0110542553443,53.9190936666216,,8.9,26.3673843991769,0.61849,,15.7290920133564,0.2479511,-0.0162574999999999,-0.5758327,-0.517294,-0.835456,0.0324742,12.4529027558077,3.15558730477948,19.6857850931616,9.61999483859266,29.3339290021037,1.77920553648531,
AR,Argentina,2014,293204.0,10.7138185179907,417.0269,190.0264,13456.1319159151,28200.8152571318,43024071.0,64.69999695,142.325481008062,6.71270351428559,14.7727785491821,52.9405434663365,,9.8,25.6716891813878,0.59396,50.1972944916064,13.8237692455151,0.3052787,0.1781782,-0.7299737,-0.6660539,-1.012746,-0.0132091,12.6109666067191,2.96561619466374,20.1779734655309,11.4269032684242,28.4067936452275,0.962406650325519,
AR,Argentina,2015,290970.0,10.6321870580884,402.6503,196.1938,13679.6264980954,28669.2061336796,43477012.0,68.0430641088122,142.240711022183,5.1566859021408,14.1815854549835,55.8149012843362,,9.4,24.4205243146988,0.62262,,14.4142330417064,0.3678175,0.1187015,-0.467320499999999,-0.645135999999999,-0.7973254,-0.0308863,12.3365069418291,1.11677493458146,20.604372046677,9.43836863309546,22.4862260889792,1.97713461784426,
AR,Argentina,2016,290100.0,10.6003968297469,398.8717,194.1404,13265.8860639123,27802.1057201498,43900313.0,70.9689808206024,145.146584717972,6.26456582010254,13.4880259708051,56.1222358547004,,9.4,22.7375832088032,0.55815,,13.6676334273514,0.4495506,0.3427634,-0.2365898,-0.2193628,-0.2527044,0.1932708,12.0972836411962,0.929681521135013,21.0846506714366,11.4076106061133,26.0938878488799,0.584748941173009,
AR,Argentina,2017,288990.0,10.5598368832422,408.8116,191.3736,13520.1129846159,28334.904184742,44288894.0,74.2949068657957,139.758240519621,5.23162237725058,12.8351683415363,57.3499373815692,,10.4,24.5224932026036,0.55632,48.7084867377005,15.9584973420583,0.5819915,0.2956525,-0.172504599999999,-0.178141599999999,-0.1203619,0.2394066,10.939623860491,1.02056616793198,21.505941986483,16.8948497510525,25.2896011376779,1.78936504083806,
AR,Argentina,2018,287910.0,10.5203731515078,409.8229,189.8171,13058.3285449954,27367.115094108,44654882.0,77.7,131.224265691711,4.53787889681146,14.0601434041581,56.3697502721818,,10.5,25.0378814713896,0.4883,,,0.6297742,0.257748,-0.2022099,-0.0057354,-0.190133499999999,0.1204378,9.79144712037089,2.0371251352841,21.6175577222417,8.76225361679707,30.7625359549926,2.23253157689253,
AR,Argentina,2019,286810.0,10.4801786099266,377.3891,183.2687,12706.3978108968,26629.5529419501,44973465.0,79.9469520347551,125.302657911726,5.3185559967348,13.5408390702829,55.4388171093669,,10.7,26.5099136541149,0.47813,,14.4776292447323,0.5979723,0.2629574,-0.338125599999999,-0.0847054,-0.449108299999999,0.0571577,10.3919973375121,2.16668838721926,22.7149996003683,8.79801852253825,32.6306150458499,1.48500687570697,
AR,Argentina,2020,285730.0,10.4407148781923,422.0427,168.1154,11393.0505957877,23877.0931404855,45191965.0,85.51438646,121.180612527028,6.35703367575527,14.5905295089183,54.8578674557962,,9.8,27.2624493230322,0.54126,,15.746489768328,0.5903064,0.148927,-0.290549699999999,-0.1344697,-0.5471843,0.0552501,10.70812114449,1.42962432529499,24.0669497937937,8.36065160246713,30.203698807416,1.26616924308721,
AR,Argentina,2021,284640.0,10.4008857415345,423.1267,185.676,12549.2811699342,26300.274261175,45312281.0,87.15070683,130.352799939601,7.29128249622041,15.558416982668,52.8340319497207,,9.2,25.5361113468556,0.5236,71.6270859300586,13.2644289814534,0.5235454,0.1125651,-0.303899,-0.3273298,-0.584024299999999,0.0921998,11.3410740330927,2.65308888983975,24.0189803057016,8.58081622666602,33.078689567466,1.36838083162438,
AR,Argentina,2022,283550.0,10.3610566048767,430.5684,195.0411,13276.8232110189,27825.0273492567,45407904.0,88.37535691,131.483556254876,6.54156940484837,16.4165686180445,53.5341356683759,,,,0.54951,,12.8891009335255,0.4969087,0.1085858,-0.2913485,-0.3402325,-0.5792423,0.0576438,11.0647708090182,,23.2797968408073,8.35147499068672,31.5801792606256,2.3984601182853,
AR,Argentina,2023,282461.852,10.3212951412107,424.7075,189.8908,12993.0928872416,27230.3968496682,45538401.0,89.22897166,137.706086781571,5.8467786039069,16.5255500222842,53.1990739500308,,,,0.60111,,15.3570823376104,0.49616,0.0614731,-0.237773799999999,-0.354078399999999,-0.5065132,-0.0207671,9.92889407757488,,22.4431470253428,,26.6769512482215,3.81190879856952,
BO,Bolivia,2000,551013.9,50.8643865965107,70.6953,8.2048,2014.19024658446,7492.43381815499,8606326.0,1.4427635847914,6.76967151836916,12.9658118842238,13.2411058398516,52.1618196573823,,29.2,49.7688144329897,0.28744,,58.7218026947676,0.2098424,-0.4884996,-0.4587099,-0.4524023,0.1111419,-0.3559096,12.3308028811412,4.61282788346862,71.9102148708161,,45.5977750218555,8.76830997312938,
BO,Bolivia,2001,548998.52,50.6783457952552,69.2882,7.9363,2013.84581083123,7491.15257767136,8752736.0,2.1204625341365,8.91055094087152,13.2556536661742,13.3447719203847,52.653776599304,,29.0,54.2627480532529,0.29358,,53.5566000288067,,,,,,,11.7825460461138,4.33368686543391,71.717652811025,,45.2278224315522,8.66860569359696,
BO,Bolivia,2002,546983.14,50.4923049939998,70.4555,8.4679,2029.66993638623,7550.01554439063,8900355.0,3.11719294696997,11.4976649807789,12.955118631021,13.0354217893501,52.2995520552759,23.2,28.1,53.0238948626045,0.27663,,51.001676850074,0.0252086,-0.4897682,-0.3831379,-0.836659199999999,-0.158954999999999,-0.345507,13.1841049760332,4.94485124710044,71.3428845346001,,49.3502603725957,8.55789350643914,
BO,Bolivia,2003,544967.76,50.3062641927444,71.4821,9.0191,2050.07133411879,7625.90515937027,9050700.0,3.50859640072336,14.1297800170153,13.4272369562791,12.7844476107651,51.2880547650981,,27.0,46.0595539204415,,,47.8805198583618,-0.0799714,-0.5017882,-0.3682174,-0.8453814,-0.1149383,-0.884627699999999,12.9730003183325,5.31627802754268,68.6845799150333,,51.967836443987,2.442343967183,
BO,Bolivia,2004,542952.38,50.120223391489,72.8094,9.4522,2099.990810637,7811.59684101948,9204287.0,4.43992460120042,19.5646767642078,13.3223836388477,12.5074546204993,49.2849694922866,,25.8,48.4594713656388,,,42.6507012903778,-0.0983289,-0.5545755,-0.555608,-0.6249148,-0.1589524,-0.6014065,15.0163488014671,7.4299811875095,68.398786494882,,57.4642660901316,0.745772608696722,
BO,Bolivia,2005,540937.0,49.9341825902335,73.4047,9.9372,2156.18670325307,8020.63568776794,9360754.0,5.22758395663196,25.8675957086363,11.7927215329112,11.6269448883483,46.8201969433938,22.0,24.6,41.0262568695298,,,39.7951588996808,0.0909855,-0.465225499999999,-0.6036732,-0.7617554,-0.3222565,-0.879439099999999,16.2151641027597,11.5452208680479,68.1334015628131,,67.6419413613743,-2.49886824544741,
BO,Bolivia,2006,538921.62,49.7481417889781,74.5378,10.7816,2221.42722587103,8263.31896895542,9521689.0,6.20067125473576,30.2062270674877,10.9375480546288,11.3316028641399,43.1317849879713,,23.7,43.9772817855719,,,35.1778876648113,0.1494004,-0.4843923,-0.8814385,-0.452390299999999,-0.6627217,-0.622095699999999,16.8161681623874,14.6334565247073,69.0915700718119,,74.537848431547,2.45168756123775,
BO,Bolivia,2007,536906.24,49.5621009877227,79.2119,11.996,2283.4273357151,8493.94848397403,9685960.0,10.49919987,33.5992508744616,10.011155665672,11.414916152174,42.5095719427825,,22.1,43.9115920763023,,,34.3464279647996,0.0758027999999999,-0.449504199999999,-0.8731148,-0.480008799999999,-0.7718798,-0.632049499999999,16.9648657379261,13.9849345825977,65.4201974637439,,76.0619114476148,2.79185385749299,
BO,Bolivia,2008,534890.86,49.3760601864673,73.1943,12.8434,2383.2503257823,8865.27246783163,9850858.0,12.5,51.1488440905351,10.4424041155226,11.1684738555863,40.496023654551,32.1,21.3,40.5381897711978,,,31.4948343659664,0.0220861,-0.4878087,-1.0045966,-0.5457949,-0.808172799999999,-0.5339009,,12.7766867611472,65.4125948848405,,82.8670208961798,3.07261074755318,
BO,Bolivia,2009,532875.48,49.1900193852119,74.5948,13.6594,2422.57579390007,9011.55629962953,10016275.0,16.79999924,64.5388630004667,11.1524074497311,11.616725705404,43.5085261772037,20.2,20.6,38.7797752808989,0.157,,34.0214297799199,0.0738735,-0.361823699999999,-1.1687051,-0.5487867,-0.8805278,-0.2490392,,7.44851742232197,63.8124807589565,,68.6270739127592,2.43967814560444,
