"COUNTRY.ID","COUNTRY","COUNTRY.Description","INDICATOR.ID","INDICATOR","INDICATOR.Description","GEOGRAPHIC_MARINE_ZONES_AND_CLIMATIC_CLASSIFICATIONS.ID","GEOGRAPHIC_MARINE_ZONES_AND_CLIMATIC_CLASSIFICATIONS","GEOGRAPHIC_MARINE_ZONES_AND_CLIMATIC_CLASSIFICATIONS.Description","FREQUENCY.ID","FREQUENCY","FREQUENCY.Description","TIME_PERIOD","OBS_VALUE","SCALE.ID","SCALE","SCALE.Description"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1992","96.51110298","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1993","96.54041213","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1994","95.8428545","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1995","97.86055877","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1996","97.95311286","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1997","98.79454595","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1998","99.80766803","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","1999","101.3384527","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2000","102.6709081","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2001","100.6808172","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2002","100.7210059","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2003","100.7190519","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2004","101.0189826","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2005","101.1097077","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2006","100.0117237","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2007","98.51793233","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2008","97.7840968","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2009","96.42304835","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2010","96.34807585","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2011","95.85092317","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2012","97.05833504","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2013","98.16635164","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2014","98.63640628","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"PAN","Panama","","LC_CAII_IX","Climate Altering Land Cover Index, Index","Climate Altering Land Cover Index Index is used here as the unit of measure for values that result from an index computation.","CA","Climate altering","Climate altering","A","Annual","To be used for data collected or disseminated every year.","2015","100","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
