year,remesas_pib,matricula_superior,gdp_pc_ppp,embi_ecuador
2000,7.53900859835198,38.1871795654297,9183.05155276919,6100
2001,6.14240830281378,38.1871795654297,9405.11680690106,1200
2002,5.31534116234239,38.1871795654297,9697.55517665978,1600
2003,5.27503980472213,38.1871795654297,9802.81408202125,1000
2004,5.22245926639398,38.1871795654297,10290.6634264766,800
2005,6.10742377469624,38.1871795654297,10660.2046228939,700
2006,6.42101090681869,38.1871795654297,10933.4897470283,600
2007,6.70295541841078,38.1871795654297,10952.8226853948,500
2008,5.05178528024742,38.1871795654297,11474.5257023541,1200
2009,4.5635031450049,38.45350193369655,11403.5277978831,1500
2010,3.81361167392642,38.7198243019634,11665.6978598204,800
2011,3.39373350415588,38.98614667023025,12449.0785549218,700
2012,2.82239084408483,39.2524690384971,12961.0267423765,600
2013,2.54612673206732,39.7734405802353,13689.1520460125,600
2014,2.40703123870624,42.155294927300304,14064.7992246727,700
2015,2.45609170654041,44.5371492743653,13881.5700738105,1000
2016,2.67435295214931,45.468493924686165,13586.5160772568,1100
2017,2.72722996049999,46.39983857500703,14179.1537503305,600
2018,2.82760317052208,47.3311832253279,14083.5069982304,700
2019,3.0137639320716,47.2627814012203,13870.4895118068,800
2020,3.48790451754192,56.9066311483682,12440.3263747814,2250
2021,4.07490158068369,58.393206746617096,13507.4445638375,900
2022,4.08839477102189,59.879782344866,14186.6388544625,1200
2023,4.50067266318947,67.8851161961618,14343.0190134813,1800
